,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1
60,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
120,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
180,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
240,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
300,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
360,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1
420,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1
480,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1
540,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
600,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
660,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
720,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1
780,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1
840,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
900,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1
960,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
1020,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0
1080,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1
1140,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1
1200,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
1260,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0
1320,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
1380,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0
1440,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1
1500,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0
1560,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
1620,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1
1680,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
1740,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1
1800,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1
1860,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
1920,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
1980,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0
2040,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0
2100,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0
2160,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0
2220,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1
2280,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0
2340,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
2400,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1
2460,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1
2520,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
2580,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0
2640,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
2700,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1
2760,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0
2820,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0
2880,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
2940,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1
3000,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0
3060,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
3120,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
3180,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
3240,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0
3300,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
3360,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0
3420,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1
3480,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
3540,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
