,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
240,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
300,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
360,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1
420,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1
480,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1
540,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1
600,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1
660,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1
720,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1
780,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
840,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1
900,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1
960,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
1020,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1080,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
1140,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1
1200,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1260,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1320,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
1380,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1
1440,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
1500,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
1560,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
1620,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
1680,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
1740,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1
1800,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
1860,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
1920,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
1980,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1
2040,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1
2100,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1
2160,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1
2220,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1
2280,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0
2340,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1
2400,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1
2460,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1
2520,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1
2580,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
2640,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1
2700,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1
2760,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1
