,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
60,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
120,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0
180,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
240,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
300,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1
360,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
420,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1
480,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0
540,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1
600,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0
660,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
720,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0
780,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1
840,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0
900,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1
960,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0
1020,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1
1080,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0
1140,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1
1200,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0
1260,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
1320,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
1380,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1440,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0
1500,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1
1560,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0
1620,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
1680,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0
1740,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1
1800,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
1860,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1
1920,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0
1980,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0
2040,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
2100,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
2160,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2220,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
2280,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
2340,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0
2400,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
2460,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0
2520,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1
2580,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0
2640,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
2700,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0
2760,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
2820,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0
2880,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0
2940,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1
3000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
3060,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1
3120,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
3180,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
3240,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
3300,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1
3360,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1
3420,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
3480,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1
3540,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
