,3way_A1,3way_A2,3way_A3,3way_B0,3way_B4,3way_C0,3way_C4,3way_D0,3way_D4,3way_E1,3way_E2,3way_E3,4way_B1,4way_B2,4way_B3,4way_C1,4way_C2,4way_C3,4way_D1,4way_D2,4way_D3
0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1
60,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1
120,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1
180,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1
240,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0
300,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1
360,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1
420,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0
480,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0
540,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1
600,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1
660,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0
720,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0
780,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1
840,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1
900,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1
960,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0
1020,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
1080,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1
1140,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1
1200,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
1260,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0
1320,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
1380,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1440,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1
1500,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0
1560,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
1620,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1
1680,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1
1740,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0
1800,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1
1860,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0
1920,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
1980,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
2040,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0
2100,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0
2160,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
2220,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1
